GPC_ID   | MEDIA   | DUDOSOS  | TOTAL    | % ERROR | CATEGORIA
1771     | 0.924   | 13       | 728      |    1.8% | Bricolaje  >  Accesorios de bricolaje  >  Bisagras
96       | 0.906   | 13       | 265      |    4.9% | Arte y ocio  >  Fiestas y celebraciones  >  Productos para fiestas
5122     | 0.740   | 12       | 43       |   27.9% | Ropa y accesorios  >  Joyería  >  Accesorios para reloj
505805   | 0.909   | 12       | 394      |    3.0% | Material de oficina  >  Productos generales  >  Masilla adhesiva
264      | 0.905   | 12       | 391      |    3.1% | Electrónica  >  Comunicación  >  Telefonía  >  Accesorios para móviles
360      | 0.882   | 12       | 198      |    6.1% | Electrónica  >  Comunicación  >  Intercomunicadores
2047     | 0.938   | 12       | 1571     |    0.8% | Economía e industria  >  Equipo de protección para el trabajo
689      | 0.924   | 12       | 837      |    1.4% | Casa y jardín  >  Jardín
8042     | 0.902   | 12       | 636      |    1.9% | Casa y jardín  >  Decoración  >  Accesorios de elementos decorativos para ventanas  >  Piezas de repuesto para cortinas y persianas
2073     | 0.930   | 12       | 1978     |    0.6% | Alimentación, bebida y tabaco  >  Bebidas  >  Té e infusiones
5811     | 0.891   | 12       | 650      |    1.8% | Alimentación, bebida y tabaco  >  Alimentos  >  Carne, marisco y huevos  >  Carne  >  Carnes en lata
2271     | 0.883   | 11       | 271      |    4.1% | Ropa y accesorios  >  Prendas de vestir  >  Vestidos
175      | 0.925   | 11       | 734      |    1.5% | Ropa y accesorios  >  Accesorios para bolsos y billeteras  >  Llaveros
500085   | 0.809   | 11       | 74       |   14.9% | Casa y jardín  >  Accesorios para electrodomésticos  >  Accesorios para electrodomésticos de lavandería  >  Accesorios para lavadoras y secadoras
2273     | 0.883   | 11       | 146      |    7.5% | Bricolaje  >  Fontanería  >  Filtración y distribución de agua
563      | 0.930   | 11       | 1022     |    1.1% | Bebés y niños pequeños  >  Lactancia y alimentación  >  Comida para bebés y niños  >  Fórmula infantil
16       | 0.920   | 11       | 745      |    1.5% | Arte y ocio  >  Hobbies y artes creativas  >  Manualidades
958      | 0.921   | 10       | 5611     |    0.2% | Material de oficina  >  Productos generales  >  Productos de papel  >  Sobres
283      | 0.925   | 10       | 782      |    1.3% | Electrónica  >  Vídeo  >  Accesorios de vídeo  >  Accesorios para monitores de ordenador
4072     | 0.899   | 10       | 1195     |    0.8% | Economía e industria  >  Piercings y tatuajes  >  Instrumentos para tatuajes  >  Agujas para tatuajes
1684     | 0.934   | 10       | 2258     |    0.4% | Casa y jardín  >  Plantas  >  Árboles
594      | 0.914   | 10       | 426      |    2.3% | Casa y jardín  >  Iluminación
6459     | 0.860   | 10       | 97       |   10.3% | Bricolaje  >  Suministros eléctricos  >  Interruptores eléctricos
1186     | 0.904   | 10       | 230      |    4.3% | Bricolaje  >  Herramientas  >  Martillos y mazos
499933   | 0.922   | 10       | 413      |    2.4% | Bricolaje  >  Accesorios de bricolaje  >  Cilindros
8526     | 0.924   | 9        | 792      |    1.1% | Vehículos y recambios  >  Piezas y accesorios para vehículos  >  Material electrónico para vehículos motorizados
5613     | 0.936   | 9        | 994      |    0.9% | Vehículos y recambios  >  Piezas y accesorios para vehículos
207      | 0.892   | 9        | 326      |    2.8% | Ropa y accesorios  >  Prendas de vestir  >  Pantalones cortos
465      | 0.923   | 9        | 616      |    1.5% | Mobiliario  >  Estanterías  >  Librerías y estanterías
930      | 0.948   | 9        | 3152     |    0.3% | Material de oficina  >  Clasificación y organización  >  Carpetas para archivos
1016     | 0.905   | 9        | 701      |    1.3% | Equipamiento deportivo  >  Actividades al aire libre  >  Camping y senderismo  >  Vajillas y utensilios de cocina para camping
97       | 0.922   | 9        | 397      |    2.3% | Elementos religiosos y ceremoniales  >  Artículos religiosos
305      | 0.909   | 9        | 383      |    2.3% | Electrónica  >  Vídeo  >  Monitores de ordenador
3873     | 0.875   | 9        | 122      |    7.4% | Casa y jardín  >  Seguridad empresarial y del hogar  >  Sistemas de alarmas para el hogar
3798     | 0.923   | 9        | 304      |    3.0% | Casa y jardín  >  Jardín  >  Maquinaria de jardinería
2629     | 0.912   | 9        | 169      |    5.3% | Bricolaje  >  Herramientas  >  Taladros  >  Taladros eléctricos de mano
1203     | 0.925   | 9        | 396      |    2.3% | Bricolaje  >  Herramientas  >  Destornilladores
504635   | 0.914   | 9        | 225      |    4.0% | Bricolaje  >  Fontanería  >  Piezas y herramientas para componentes de fontanería
2174     | 0.922   | 9        | 242      |    3.7% | Bricolaje  >  Accesorios para herramientas  >  Hojas o cuchillas
438      | 0.911   | 8        | 564      |    1.4% | Mobiliario  >  Sillas  >  Pufs
6908     | 0.917   | 8        | 418      |    1.9% | Mobiliario  >  Mobiliario de oficina  >  Cubículos y mesas de trabajo
977      | 0.935   | 8        | 562      |    1.4% | Material de oficina  >  Artículos de oficina  >  Artículos de escritura y dibujo
1144     | 0.932   | 8        | 1367     |    0.6% | Equipamiento deportivo  >  Actividades al aire libre  >  Deportes acuáticos y navegación deportiva  >  Natación
5591     | 0.934   | 8        | 1504     |    0.5% | Economía e industria  >  Equipo de protección para el trabajo  >  Guantes de seguridad
362      | 0.841   | 8        | 70       |   11.4% | Cámaras y ópticas  >  Cámaras  >  Cámaras de vigilancia
141      | 0.809   | 8        | 53       |   15.1% | Cámaras y ópticas
6773     | 0.834   | 8        | 60       |   13.3% | Casa y jardín  >  Accesorios para electrodomésticos  >  Accesorios para calderas y calentadores
